Sample_Name,Cancer_Type,cg14914908,cg06675190,cg27621340,cg16968596,cg20510724,cg03184141,cg18230771,cg21211413,cg03648457,cg27219955,cg17057098,cg26882224,cg04886934,cg07343187,cg07884251,cg09947810,cg12497142,cg08631783
TARGET-00-NAAENF-11A-01D,Normal,1.80496265188352,-3.17111686498424,-3.41017687376165,-2.36314517806906,-3.40533753230339,-2.23623805031259,-3.26328136267863,0.583448047175366,0.475398654528096,1.4837443837832,5.11309139231212,3.48552327500901,3.99103451839752,3.05282277270765,2.25824775203587,2.48720682633137,1.75998384875437,2.16908564127692
TARGET-00-NAAENG-11A-01D,Normal,1.70640905219976,-3.85865533604611,-3.17629176557092,-2.51392020259065,-2.98721052864379,-3.14090334826897,-3.59078657278542,0.895314036952373,0.341081376678939,1.63650298866249,4.63295287816742,3.4493087371274,4.72539208048294,3.29296809990626,2.29085933014406,2.58834172355994,1.7472171051416,1.97653173366865
TARGET-00-NAAENH-11A-01D,Normal,0.00774533915208468,-3.41076502628345,-3.30549148680273,-2.00399245410509,-2.13062462805074,-2.72456408519585,-3.08944501148887,0.624254633235656,0.867481950746966,1.53176790261143,4.66835708576739,2.57415789640436,3.52486408624233,2.22332834160195,2.02850267814735,1.99077144125838,0.714568333023709,1.72583869920059
TARGET-00-NAAENI-11A-01D,Normal,1.71437724629283,-3.21475399486326,-3.32886553957936,-3.8517419146205,-2.98847459798005,-2.186761619374,-3.3259984379319,0.88826847354069,0.529921695460137,1.34832294697037,4.64477339418094,3.74834590732314,4.13034955077301,3.53825907915931,2.28153590608641,2.39127444991249,1.63967023036783,1.99161951188691
TARGET-00-NAAENJ-11A-01D,Normal,1.38379041807285,-3.36314005923249,-3.16833381202786,-3.17019655478948,-2.98190626258423,-3.16384783646846,-3.30791579668209,0.869296094152879,0.624000957442048,1.20369471612761,4.08690067572508,3.26824344784481,4.70380173794167,3.26284279622872,2.19765662867275,2.59287735372583,1.50705980222235,1.98306146855733
TARGET-00-NAAENK-11A-01D,Normal,1.33784256617272,-3.63967393010782,-3.5023978276587,-1.61217820660186,-2.95570810881101,-2.68745765442042,-3.23232896827469,-0.105385515676672,1.12124044348504,1.46939152821194,4.83874258837543,4.62914566119919,4.97151490068015,3.66061959824052,2.07853573404176,2.75433376806435,1.55622016293431,2.10209528647306
TARGET-00-NAAENL-11A-01D,Normal,0.881120412278022,-3.43584135762157,-3.53596538992592,-2.15513845879049,-3.15908960765483,-2.32700858808103,-3.17457778416446,0.217361008733206,1.36537652306675,1.42126688963693,4.44756904253598,3.55406411346602,3.35969851456455,3.04257299302024,2.04341416388616,2.41534374544121,1.47479339985885,2.04133467317937
TARGET-00-NAAENM-11A-01D,Normal,1.13804952431258,-3.25253865759983,-3.28730999835824,-3.89857593788524,-3.05175235601328,-3.35869753046585,-3.07850449837106,0.384322381517496,1.45177859404548,1.58513959674427,6.03259721875744,3.47925582807567,4.54902478390421,3.03352752359006,2.23768637305151,2.70210873513851,1.72234738721303,1.44159724896532
TARGET-00-NAAENN-11A-01D,Normal,1.43051296824999,-3.22620142019902,-3.00015987312083,-2.56418630821251,-3.1653570977606,-2.64970456371667,-3.194057676396,0.5939883131626,1.42649462396894,1.77058161697606,0.546792689582659,0.23659664176492,0.141451302528473,2.91157977776401,2.44340787268595,2.62160959030521,1.79653473217158,0.851557322964385
TARGET-00-NAAENP-11A-01D,Normal,1.03286445554098,-2.99160810169222,-3.51501262709233,-1.85334393822485,-3.33118246971329,-2.26659540113114,-3.39694077573765,-0.305703475369265,0.887306592691139,1.29228894638192,4.82873403387035,3.21837150246958,3.61900211253259,3.58288433073814,2.1871464800673,2.27635235717286,1.66716953604679,2.05343631316487
