hallmark_name	anova_f_statistic	anova_p_value	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	38.15934580192329	7.594057047724458e-36	3.7970285238622288e-34	TRUE
HALLMARK_ALLOGRAFT_REJECTION	3.6401974744369436	9.383896448810785e-4	0.04691948224405393	FALSE
HALLMARK_ANDROGEN_RESPONSE	12.590463645141416	9.195997419951828e-14	4.597998709975914e-12	TRUE
HALLMARK_ANGIOGENESIS	12.264522202986775	2.0329098655129023e-13	1.016454932756451e-11	TRUE
HALLMARK_APICAL_JUNCTION	24.659960223365648	2.7762013285408863e-25	1.3881006642704433e-23	TRUE
HALLMARK_APICAL_SURFACE	10.880114168637526	6.196122898735407e-12	3.0980614493677034e-10	TRUE
HALLMARK_APOPTOSIS	4.247717756171337	1.911169217557939e-4	0.009555846087789694	TRUE
HALLMARK_BILE_ACID_METABOLISM	39.81038013508304	5.2438872579856625e-37	2.621943628992831e-35	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	27.70450409833655	7.508113038264861e-28	3.7540565191324303e-26	TRUE
HALLMARK_COAGULATION	11.712548027519354	7.866773348524926e-13	3.933386674262463e-11	TRUE
HALLMARK_COMPLEMENT	4.610300385993857	7.338138910143908e-5	0.0036690694550719537	TRUE
HALLMARK_DNA_REPAIR	27.4576307500858	1.2004052912958202e-27	6.002026456479101e-26	TRUE
HALLMARK_E2F_TARGETS	7.086282673203967	1.0479757339525017e-7	5.239878669762508e-6	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	14.565816180565449	8.2299796071595185e-16	4.114989803579759e-14	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	19.107867696926725	2.86509846831724e-20	1.4325492341586202e-18	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	22.663955908638197	1.564667741751234e-23	7.82333870875617e-22	TRUE
HALLMARK_FATTY_ACID_METABOLISM	35.211729782343134	1.0408530856334735e-33	5.204265428167367e-32	TRUE
HALLMARK_G2M_CHECKPOINT	4.550305839340413	8.599692217200196e-5	0.004299846108600098	TRUE
HALLMARK_GLYCOLYSIS	39.06693235662848	1.734827229351182e-36	8.67413614675591e-35	TRUE
HALLMARK_HEDGEHOG_SIGNALING	38.10289484882605	8.329348632391013e-36	4.1646743161955065e-34	TRUE
HALLMARK_HEME_METABOLISM	7.8242102102521685	1.5183080097103864e-8	7.591540048551931e-7	TRUE
HALLMARK_HYPOXIA	10.694942424332504	9.843124402637893e-12	4.921562201318947e-10	TRUE
HALLMARK_IL2_STAT5_SIGNALING	1.8264707758711725	0.08281834910059348	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.0444063713429435	0.05034765146574715	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	3.2125656363939115	0.0028313857706730203	0.141569288533651	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.543827985468641	0.015217802132896335	0.7608901066448168	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.3234477217897507	0.2396546213464215	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	3.9361580360008976	4.33317224134694e-4	0.0216658612067347	FALSE
HALLMARK_KRAS_SIGNALING_UP	6.469329789761641	5.326160129073689e-7	2.6630800645368442e-5	TRUE
HALLMARK_MITOTIC_SPINDLE	8.291815424424021	4.5018435629629535e-9	2.2509217814814768e-7	TRUE
HALLMARK_MTORC1_SIGNALING	13.59618365301566	8.17119692785388e-15	4.08559846392694e-13	TRUE
HALLMARK_MYC_TARGETS_V1	7.942643304894493	1.1151988168335806e-8	5.575994084167903e-7	TRUE
HALLMARK_MYC_TARGETS_V2	9.019093395973403	6.895342124878454e-10	3.447671062439227e-8	TRUE
HALLMARK_MYOGENESIS	21.62266587986709	1.349882408593359e-22	6.7494120429667954e-21	TRUE
HALLMARK_NOTCH_SIGNALING	39.10735225199525	1.6250870629259112e-36	8.125435314629556e-35	TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	23.182967033143143	5.417142970843804e-24	2.708571485421902e-22	TRUE
HALLMARK_P53_PATHWAY	9.778376910176503	9.924077113055486e-11	4.962038556527743e-9	TRUE
HALLMARK_PANCREAS_BETA_CELLS	17.18490941186017	2.0093083308971947e-18	1.0046541654485973e-16	TRUE
